Sr.No,State,Year,Month,Value
553,TELANGANA,1947,JAN,13.4
554,TELANGANA,1947,FEB,18.0
555,TELANGANA,1947,MAR,3.3
556,TELANGANA,1947,APR,1.8
557,TELANGANA,1947,MAY,10.8
558,TELANGANA,1947,JUN,59.9
559,TELANGANA,1947,JUL,273.3
560,TELANGANA,1947,AUG,315.5
561,TELANGANA,1947,SEP,248.3
562,TELANGANA,1947,OCT,35.3
563,TELANGANA,1947,NOV,16.2
564,TELANGANA,1947,DEC,9.7
565,TELANGANA,1948,JAN,3.7
566,TELANGANA,1948,FEB,4.6
567,TELANGANA,1948,MAR,5.1
568,TELANGANA,1948,APR,20.0
569,TELANGANA,1948,MAY,15.0
570,TELANGANA,1948,JUN,71.4
571,TELANGANA,1948,JUL,239.3
572,TELANGANA,1948,AUG,165.4
573,TELANGANA,1948,SEP,242.5
574,TELANGANA,1948,OCT,25.0
575,TELANGANA,1948,NOV,123.0
576,TELANGANA,1948,DEC,0.0
577,TELANGANA,1949,JAN,0.5
578,TELANGANA,1949,FEB,0.0
579,TELANGANA,1949,MAR,2.4
580,TELANGANA,1949,APR,13.8
581,TELANGANA,1949,MAY,67.9
582,TELANGANA,1949,JUN,152.0
583,TELANGANA,1949,JUL,335.5
584,TELANGANA,1949,AUG,173.6
585,TELANGANA,1949,SEP,198.1
586,TELANGANA,1949,OCT,94.6
587,TELANGANA,1949,NOV,0.2
588,TELANGANA,1949,DEC,0.0
589,TELANGANA,1950,JAN,0.0
590,TELANGANA,1950,FEB,34.7
591,TELANGANA,1950,MAR,14.2
592,TELANGANA,1950,APR,0.2
593,TELANGANA,1950,MAY,11.6
594,TELANGANA,1950,JUN,78.4
595,TELANGANA,1950,JUL,222.7
596,TELANGANA,1950,AUG,118.5
597,TELANGANA,1950,SEP,254.1
598,TELANGANA,1950,OCT,21.8
599,TELANGANA,1950,NOV,4.7
600,TELANGANA,1950,DEC,0.5
601,TELANGANA,1951,JAN,0.0
602,TELANGANA,1951,FEB,0.0
603,TELANGANA,1951,MAR,56.1
604,TELANGANA,1951,APR,20.1
605,TELANGANA,1951,MAY,31.1
606,TELANGANA,1951,JUN,116.8
